attempt=3
returncode=0
elapsed_sec=20.88

STDOUT:
Epoch 1, Loss: 1.9650460879007976
Validation Accuracy: 0.6190, Macro F1: 0.5679
Epoch 48, Loss: 0.8374305168787638
Validation Accuracy: 0.6190, Macro F1: 0.5650
Epoch 49, Loss: 0.7510824998219808
Validation Accuracy: 0.6190, Macro F1: 0.5585
Epoch 50, Loss: 0.8364242911338806
Validation Accuracy: 0.6190, Macro F1: 0.5567
Epoch 51, Loss: 0.801252007484436
Validation Accuracy: 0.5952, Macro F1: 0.5372
Epoch 52, Loss: 0.8120933373769125
Validation Accuracy: 0.6310, Macro F1: 0.5664
Epoch 53, Loss: 0.7715168992678324
Validation Accuracy: 0.6190, Macro F1: 0.5585
Epoch 54, Loss: 0.8540018796920776
Validation Accuracy: 0.6429, Macro F1: 0.5795
Epoch 55, Loss: 0.7928667267163595
Validation Accuracy: 0.6071, Macro F1: 0.5588
Epoch 56, Loss: 0.8022369941075643
Validation Accuracy: 0.6548, Macro F1: 0.6014
Epoch 57, Loss: 0.7456381519635519
Validation Accuracy: 0.6429, Macro F1: 0.5805
Epoch 58, Loss: 0.7693571845690409
Validation Accuracy: 0.6071, Macro F1: 0.5519
Epoch 59, Loss: 0.774037222067515
Validation Accuracy: 0.6310, Macro F1: 0.5843
Epoch 60, Loss: 0.8126490116119385
Validation Accuracy: 0.6071, Macro F1: 0.5447
Epoch 61, Loss: 0.734473705291748
Validation Accuracy: 0.6310, Macro F1: 0.5664
Epoch 62, Loss: 0.7741328279177347
Validation Accuracy: 0.6310, Macro F1: 0.5664
Epoch 63, Loss: 0.8103173573811849
Validation Accuracy: 0.6190, Macro F1: 0.5585
Epoch 64, Loss: 0.801596482594808
Validation Accuracy: 0.6429, Macro F1: 0.5930
Epoch 65, Loss: 0.7593024174372355
Validation Accuracy: 0.6548, Macro F1: 0.6027
Epoch 66, Loss: 0.752543568611145
Validation Accuracy: 0.6548, Macro F1: 0.6031
Epoch 67, Loss: 0.7655865947405497
Validation Accuracy: 0.6190, Macro F1: 0.5600
Epoch 68, Loss: 0.7944788734118143
Validation Accuracy: 0.6310, Macro F1: 0.5697
Epoch 69, Loss: 0.7945720354715983
Validation Accuracy: 0.6429, Macro F1: 0.5795
Epoch 70, Loss: 0.7582684556643168
Validation Accuracy: 0.6190, Macro F1: 0.5567
Epoch 71, Loss: 0.7356264789899191
Validation Accuracy: 0.6071, Macro F1: 0.5489
Epoch 72, Loss: 0.7541407545407613
Validation Accuracy: 0.6429, Macro F1: 0.5940
Epoch 73, Loss: 0.7375361720720927
Validation Accuracy: 0.6548, Macro F1: 0.6039
Epoch 74, Loss: 0.7362759510676066
Validation Accuracy: 0.6429, Macro F1: 0.5795
Epoch 75, Loss: 0.7661761045455933
Validation Accuracy: 0.6429, Macro F1: 0.5795
Epoch 76, Loss: 0.7780500451723734
Validation Accuracy: 0.6310, Macro F1: 0.5683
Epoch 77, Loss: 0.8520502249399821
Validation Accuracy: 0.6190, Macro F1: 0.5567
Epoch 78, Loss: 0.7602921724319458
Validation Accuracy: 0.6310, Macro F1: 0.5726
Epoch 79, Loss: 0.8656422098477682
Validation Accuracy: 0.6310, Macro F1: 0.5697
Epoch 80, Loss: 0.7801036834716797
Validation Accuracy: 0.6071, Macro F1: 0.5446
Epoch 81, Loss: 0.7914554675420126
Validation Accuracy: 0.6310, Macro F1: 0.5683
Epoch 82, Loss: 0.7963792483011881
Validation Accuracy: 0.6190, Macro F1: 0.5543
Epoch 83, Loss: 0.7932241360346476
Validation Accuracy: 0.6071, Macro F1: 0.5447
Epoch 84, Loss: 0.7611437638600668
Validation Accuracy: 0.6310, Macro F1: 0.5707
Epoch 85, Loss: 0.7741512457529703
Validation Accuracy: 0.6310, Macro F1: 0.5716
Epoch 86, Loss: 0.8011126716931661
Validation Accuracy: 0.6429, Macro F1: 0.5815
Epoch 87, Loss: 0.7867622375488281
Validation Accuracy: 0.6071, Macro F1: 0.5447
Epoch 88, Loss: 0.7483210762341818
Validation Accuracy: 0.5476, Macro F1: 0.4784
Epoch 89, Loss: 0.7700317700703939
Validation Accuracy: 0.6190, Macro F1: 0.5567
Epoch 90, Loss: 0.7047728498776754
Validation Accuracy: 0.6190, Macro F1: 0.5600
Epoch 91, Loss: 0.7448065280914307
Validation Accuracy: 0.6667, Macro F1: 0.6014
Epoch 92, Loss: 0.738217850526174
Validation Accuracy: 0.6190, Macro F1: 0.5610
Epoch 93, Loss: 0.7195527950922648
Validation Accuracy: 0.6310, Macro F1: 0.5697
Epoch 94, Loss: 0.7952096462249756
Validation Accuracy: 0.6310, Macro F1: 0.5683
Epoch 95, Loss: 0.7240093549092611
Validation Accuracy: 0.6548, Macro F1: 0.5905
Epoch 96, Loss: 0.7148817380269369
Validation Accuracy: 0.6429, Macro F1: 0.5812
Epoch 97, Loss: 0.7297193805376688
Validation Accuracy: 0.6429, Macro F1: 0.5815
Epoch 98, Loss: 0.7656583388646444
Validation Accuracy: 0.6310, Macro F1: 0.5716
Epoch 99, Loss: 0.7642337282498678
Validation Accuracy: 0.6071, Macro F1: 0.5447
Epoch 100, Loss: 0.7267260154088339
Validation Accuracy: 0.6190, Macro F1: 0.5515


STDERR:

